"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","focal_collect","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","SHEARV","GALIUM","LATHVIC","ERILAN","DAUCAR","APOAND","LUPBIC","LEUVUL","TRIFOLIUM","MYOSOTIS","CERGLO","GERANIUM","D","F","G","Z","HYPERNICUM","CIRSIUM","VERARV","MADIA","NAVINT","A","B","C","DANDEION","CLAAMO","MYO","CHICKWEED","VICIA","DAUCUS","LINBIE","PLANTAIN","CAMAS","CLOVER","J","H","I","SEDGE","EPICIL","JUNCUS","SCARLET.PIMPERNEL","FRLA","E","sedge","DICCON","ACMAME","N_neigh","N_neigh8"
"RF","DIVERSE","CLAPUR",9,"7/8/24",2,"C5",46.4,NA,NA,NA,NA,6,120,"RF-DIVERSE-2-C5",NA,1,7,2,10,6,24,4,17,0,1,NA,0,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,71
"RF","DIVERSE","CLAPUR",10,"7/8/24",2,"A2",41,NA,NA,NA,NA,2,40,"RF-DIVERSE-2-A2",NA,2,9,2,23,8,12,2,26,0,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,84
"RF","DIVERSE","CLAPUR",11,"7/8/24",3,"D2",37.1,NA,NA,NA,NA,5,100,"RF-DIVERSE-3-D2",NA,0,7,3,8,5,4,7,15,1,0,NA,0,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,49
"RF","DIVERSE","CLAPUR",12,"7/8/24",3,"C2",55.5,NA,NA,NA,NA,6,120,"RF-DIVERSE-3-C2",NA,1,2,2,6,3,5,7,16,0,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,42
"RF","DIVERSE","CLAPUR",13,"7/8/24",4,"E5",53.5,NA,NA,NA,NA,10,200,"RF-DIVERSE-4-E5",NA,0,7,0,15,0,5,4,4,1,1,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35
"RF","DIVERSE","CLAPUR",14,"7/8/24",4,"B4",46.2,NA,NA,NA,NA,8,160,"RF-DIVERSE-4-B4",NA,0,18,0,12,4,1,0,12,0,0,NA,0,0,0,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,47
"RF","DIVERSE","CLAPUR",15,"7/8/24",4,"B1",38.6,NA,NA,NA,NA,4,80,"RF-DIVERSE-4-B1",NA,1,7,1,1,2,6,2,7,2,1,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,27
"RF","DIVERSE","CLAPUR",16,"7/10/24",5,"C5",45.4,NA,NA,NA,NA,4,80,"RF-DIVERSE-5-C5",NA,0,17,0,13,6,2,6,4,0,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,48
"RF","DIVERSE","CLAPUR",17,"7/10/24",5,"C1",16.6,NA,NA,NA,NA,2,40,"RF-DIVERSE-5-C1",NA,4,43,4,10,2,6,0,14,0,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,83
"RF","DIVERSE","CLAPUR",18,"7/10/24",6,"A3",27,NA,NA,NA,NA,4,80,"RF-DIVERSE-6-A3",NA,0,3,0,26,1,0,2,0,1,0,NA,0,0,1,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,32
"RF","DIVERSE","CLAPUR",19,"7/10/24",6,"C1",47.2,NA,NA,NA,NA,4,80,"RF-DIVERSE-6-C1",NA,0,12,0,14,5,4,4,9,0,0,NA,0,0,0,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,48
"RF","DIVERSE","CLAPUR",20,"7/10/24",6,"E2",25.2,NA,NA,NA,NA,1,20,"RF-DIVERSE-6-E2",NA,0,1,1,25,0,0,11,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,38
"RF","DIVERSE","CLAPUR",21,"7/10/24",6,"E3",74.6,NA,NA,NA,NA,19,380,"RF-DIVERSE-6-E3",NA,0,0,1,36,1,0,8,0,0,0,NA,0,0,0,NA,NA,NA,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,46
"RF","DIVERSE","CLAPUR",22,"7/10/24",6,"D2",56,NA,NA,NA,NA,6,120,"RF-DIVERSE-6-D2",NA,0,0,0,14,0,3,20,1,0,0,NA,0,0,1,NA,NA,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,38
"RF","DIVERSE","COLLIN",1,"7/8/24",4,"D3",NA,NA,NA,NA,NA,7,28,"RF-DIVERSE-4-D3",NA,0,15,0,12,10,2,2,11,0,0,NA,0,0,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,52
"RF","DIVERSE","COLLIN",2,"7/8/24",2,"D5",23.1,NA,NA,NA,NA,4,16,"RF-DIVERSE-2-D5",NA,0,0,0,8,2,28,3,15,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56
"RF","DIVERSE","COLLIN",3,"7/8/24",3,"C5",NA,NA,NA,NA,NA,18,72,"RF-DIVERSE-3-C5",NA,2,5,0,4,1,4,0,5,0,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,21
"RF","DIVERSE","COLLIN",4,"7/4/24",1,"E1",43.9,NA,NA,NA,NA,28,112,"RF-DIVERSE-1-E1",NA,5,0,0,5,1,3,2,12,0,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,28
"RF","DIVERSE","COLLIN",5,"7/4/24",1,"D5",NA,NA,NA,NA,NA,17,68,"RF-DIVERSE-1-D5",NA,4,4,2,11,5,4,2,22,0,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,54
"RF","DIVERSE","COLLIN",6,"7/4/24",1,"A4",41,NA,NA,NA,NA,16,64,"RF-DIVERSE-1-A4",NA,1,1,1,8,1,7,3,12,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34
"RF","DIVERSE","COLLIN",7,"7/8/24",2,"D5",NA,NA,NA,NA,NA,9,36,"RF-DIVERSE-2-D5",NA,0,0,0,8,2,28,3,15,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56
"RF","DIVERSE","COLLIN",8,"7/8/24",2,"C1",NA,NA,NA,NA,NA,19,76,"RF-DIVERSE-2-C1",NA,6,9,6,8,7,13,4,13,2,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,66
"RF","DIVERSE","COLLIN",9,"7/8/24",3,"A4",NA,NA,NA,NA,NA,14,56,"RF-DIVERSE-3-A4",NA,1,5,1,6,2,10,2,12,0,0,NA,0,0,1,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,39
"RF","DIVERSE","COLLIN",10,"7/8/24",3,"D1",NA,NA,NA,NA,NA,13,52,"RF-DIVERSE-3-D1",NA,0,9,3,12,1,10,11,19,1,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,65
"RF","DIVERSE","COLLIN",11,"7/8/24",3,"C3",NA,NA,NA,NA,NA,8,32,"RF-DIVERSE-3-C3",NA,0,6,2,9,6,13,5,13,0,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,54
"RF","DIVERSE","COLLIN",12,"7/8/24",4,"A5",NA,NA,NA,NA,NA,8,32,"RF-DIVERSE-4-A5",NA,0,25,1,15,4,4,0,10,0,1,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,59
"RF","DIVERSE","COLLIN",13,"7/8/24",4,"B2",NA,NA,NA,NA,NA,8,32,"RF-DIVERSE-4-B2",NA,0,17,3,4,8,3,0,6,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,41
"RF","DIVERSE","COLLIN",14,"7/8/24",4,"C2",NA,NA,NA,NA,NA,18,72,"RF-DIVERSE-4-C2",NA,0,10,2,4,8,5,2,9,1,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,40
"RF","DIVERSE","COLLIN",15,"7/10/24",5,"A4",NA,NA,NA,NA,NA,9,36,"RF-DIVERSE-5-A4",NA,1,38,1,12,6,7,0,9,0,1,NA,0,0,1,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,74
"RF","DIVERSE","COLLIN",16,"7/10/24",5,"E4",NA,NA,NA,NA,NA,10,40,"RF-DIVERSE-5-E4",NA,1,32,2,21,4,6,14,13,0,0,NA,0,0,0,NA,NA,NA,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,93
"RF","DIVERSE","COLLIN",17,"7/10/24",5,"B1",NA,NA,NA,NA,NA,20,80,"RF-DIVERSE-5-B1",NA,0,74,1,15,13,15,2,8,0,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,128
"RF","DIVERSE","COLLIN",18,"7/10/24",6,"A1",23.2,NA,NA,NA,NA,7,28,"RF-DIVERSE-6-A1",NA,0,3,0,36,1,1,0,6,0,0,NA,0,0,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,47
"RF","DIVERSE","COLLIN",19,"7/10/24",6,"B2",25.2,NA,NA,NA,NA,4,16,"RF-DIVERSE-6-B2",NA,0,8,0,29,3,8,4,10,0,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,62
"RF","DIVERSE","GILCAP",1,"7/8/24",2,"C3",22.7,NA,NA,NA,NA,10,20,"RF-DIVERSE-2-C3",NA,13,23,5,21,11,6,5,16,0,1,NA,0,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,100
"RF","DIVERSE","GILCAP",2,"7/10/24",5,"B1",19.9,NA,NA,NA,NA,10,20,"RF-DIVERSE-5-B1",NA,0,74,1,15,13,15,2,8,0,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,128
"RF","DIVERSE","GILCAP",3,"7/4/24",1,"B2",38.9,NA,NA,NA,"7/10 - either REP1 or 3",10,20,"RF-DIVERSE-1-B2",NA,5,8,0,13,4,17,4,27,0,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,78
"RF","DIVERSE","GILCAP",4,"7/4/24",1,"A3",33.5,NA,NA,NA,NA,10,20,"RF-DIVERSE-1-A3",NA,3,3,2,6,2,17,5,12,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50
"RF","DIVERSE","GILCAP",5,"7/4/24",1,"E5",39,NA,NA,NA,NA,10,20,"RF-DIVERSE-1-E5",NA,3,10,0,20,13,5,3,22,1,1,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,76
"RF","DIVERSE","GILCAP",6,"7/8/24",2,"A1",29.2,NA,NA,NA,NA,10,20,"RF-DIVERSE-2-A1",NA,9,9,3,27,15,11,1,30,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,105
"RF","DIVERSE","GILCAP",7,"7/8/24",2,"B1",55,NA,NA,NA,NA,10,20,"RF-DIVERSE-2-B1",NA,4,14,4,15,11,18,4,32,1,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,102
"RF","DIVERSE","GILCAP",8,"7/8/24",2,"D2",23.5,NA,NA,NA,NA,10,20,"RF-DIVERSE-2-D2",NA,12,4,3,8,1,6,5,11,2,0,NA,0,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,50
"RF","DIVERSE","GILCAP",9,"7/8/24",3,"D3",33.7,NA,NA,NA,NA,10,20,"RF-DIVERSE-3-D3",NA,0,20,6,7,17,3,5,17,0,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,75
"RF","DIVERSE","GILCAP",10,"7/8/24",3,"B4",27.8,NA,NA,NA,NA,20,40,"RF-DIVERSE-3-B4",NA,4,6,1,11,5,5,1,13,1,0,NA,0,0,1,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,46
"RF","DIVERSE","GILCAP",11,"7/8/24",3,"C4",40.5,NA,NA,NA,NA,20,40,"RF-DIVERSE-3-C4",NA,2,9,1,11,3,4,4,13,0,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,47
"RF","DIVERSE","GILCAP",12,"7/8/24",4,"E2",23.3,NA,NA,NA,NA,30,60,"RF-DIVERSE-4-E2",NA,1,13,2,7,3,8,3,7,2,0,NA,0,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,44
"RF","DIVERSE","GILCAP",13,"7/8/24",4,"C2",29.1,NA,NA,NA,NA,10,20,"RF-DIVERSE-4-C2",NA,0,10,2,4,8,5,2,9,1,0,NA,0,0,0,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,40
"RF","DIVERSE","GILCAP",14,"7/8/24",4,"C5",7.1,NA,NA,NA,NA,10,20,"RF-DIVERSE-4-C5",NA,1,43,3,11,7,1,4,15,0,0,NA,0,0,0,NA,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,85
"RF","DIVERSE","GILCAP",15,"7/10/24",5,"A3",17.3,NA,NA,NA,NA,10,20,"RF-DIVERSE-5-A3",NA,1,58,3,13,5,2,0,2,0,1,NA,0,0,0,NA,NA,NA,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,84
"RF","DIVERSE","GILCAP",15,"7/10/24",5,"A3",17.3,NA,NA,NA,NA,10,20,"RF-DIVERSE-5-A3",NA,1,58,3,13,5,2,0,2,0,1,NA,0,0,0,NA,NA,NA,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,84
"RF","DIVERSE","GILCAP",16,"7/10/24",5,"E2",33.3,NA,NA,NA,NA,10,20,"RF-DIVERSE-5-E2",NA,1,25,6,24,5,3,9,5,0,0,NA,0,0,0,NA,NA,NA,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,78
"RF","DIVERSE","GILCAP",17,"7/10/24",5,"E2",27.5,NA,NA,NA,NA,10,20,"RF-DIVERSE-5-E2",NA,1,25,6,24,5,3,9,5,0,0,NA,0,0,0,NA,NA,NA,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,78
"RF","DIVERSE","GILCAP",18,"7/10/24",6,"B1",30.4,NA,NA,NA,NA,10,20,"RF-DIVERSE-6-B1",NA,2,21,0,22,6,14,0,14,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,79
"RF","DIVERSE","PLAFIG",1,"7/10/24",4,"E2",NA,NA,NA,NA,"Broken stem",18,72,"RF-DIVERSE-4-E2",NA,1,13,2,7,3,8,3,7,2,0,NA,0,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,44
"RF","DIVERSE","PLAFIG",2,"7/8/24",3,"E1",NA,NA,NA,NA,NA,46,184,"RF-DIVERSE-3-E1",NA,1,10,0,19,3,7,5,9,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,54
"RF","DIVERSE","PLAFIG",3,"7/10/24",1,"A5",NA,NA,NA,NA,NA,42,168,"RF-DIVERSE-1-A5",NA,1,4,3,12,1,2,4,6,1,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,33
"RF","DIVERSE","PLAFIG",4,"7/4/24",1,"E4",32.9,NA,NA,NA,NA,33,132,"RF-DIVERSE-1-E4",NA,0,3,3,8,4,5,2,27,1,0,NA,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,52
"RF","DIVERSE","PLAFIG",5,"7/4/24",1,"A4",NA,NA,NA,NA,NA,18,72,"RF-DIVERSE-1-A4",NA,1,1,1,8,1,7,3,12,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34
"RF","DIVERSE","PLAFIG",6,"7/4/24",1,"C3",NA,NA,NA,NA,NA,12,48,"RF-DIVERSE-1-C3",NA,4,6,2,8,0,9,5,12,1,0,NA,0,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,46
"RF","DIVERSE","PLAFIG",7,"7/8/24",2,"B4",NA,NA,NA,NA,NA,37,148,"RF-DIVERSE-2-B4",NA,0,14,0,11,10,16,4,18,0,0,NA,0,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,73
"RF","DIVERSE","PLAFIG",8,"7/8/24",2,"D3",NA,NA,NA,NA,NA,19,76,"RF-DIVERSE-2-D3",NA,8,4,1,6,1,18,4,16,1,0,NA,0,0,1,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,58
"RF","DIVERSE","PLAFIG",9,"7/8/24",2,"B4",NA,NA,NA,NA,NA,17,68,"RF-DIVERSE-2-B4",NA,0,14,0,11,10,16,4,18,0,0,NA,0,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,73
"RF","DIVERSE","PLAFIG",10,"7/8/24",2,"B2",NA,NA,NA,NA,NA,7,28,"RF-DIVERSE-2-B2",NA,5,19,4,18,11,13,4,17,0,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,91
"RF","DIVERSE","PLAFIG",11,"7/8/24",2,"A2",NA,NA,NA,NA,NA,13,52,"RF-DIVERSE-2-A2",NA,2,9,2,23,8,12,2,26,0,0,NA,0,0,0,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,84
