PARK,PLOT,SPECIES,REP,date,height,stemcount,fr1,fr2,fr3,fr4,fr5,EXACTFR,BIOMASS,TOPFR,SIDEFR,notes
RF,ALONE,CLAPUR,6,7/10/2024,42.4,1,8,,,,,,,,,
RF,ALONE,CLAPUR,7,7/10/2024,43.0,1,146,,,,,,,,,
RF,ALONE,CLAPUR,8,7/10/2024,90.9,1,209,,,,,,,,,
RF,ALONE,CLAPUR,9,7/10/2024,65.7,1,45,,,,,,,,,
RF,ALONE,CLAPUR,10,7/10/2024,123.4,1,489,,,,,,,,,
RF,ALONE,CLAPUR,11,7/10/2024,82.0,1,96,,,,,,,,,
RF,ALONE,CLAPUR,12,7/10/2024,61.0,1,15,,,,,,,,,
RF,ALONE,CLAPUR,13,7/10/2024,63.8,1,13,,,,,,,,,
RF,ALONE,CLAPUR,14,7/10/2024,70.3,1,36,,,,,,,,,
RF,ALONE,COLLIN,1,6/28/2024,44.4,4,110,84,216,469,,879,,,,
RF,ALONE,COLLIN,2,6/28/2024,38.1,8,19,15,45,24,135,238,,,,
RF,ALONE,COLLIN,3,6/28/2024,38.1,5,105,79,139,140,228,691,,,,
RF,ALONE,COLLIN,4,6/28/2024,34.3,5,78,73,32,152,143,478,,,,
RF,ALONE,COLLIN,5,6/28/2024,29.4,4,12,39,25,82,,158,,,,
RF,ALONE,COLLIN,6,6/28/2024,42.1,6,75,200,12,149,65,501,,,,
RF,ALONE,COLLIN,7,6/28/2024,39.4,5,68,63,68,51,224,474,,,,
RF,ALONE,COLLIN,8,6/28/2024,47.9,5,80,167,95,174,373,889,,,,
RF,ALONE,COLLIN,9,6/28/2024,39.6,3,40,14,90,,,144,,,,
RF,ALONE,COLLIN,10,6/28/2024,39.5,1,129,,,,,129,,,,
